City,State,Year,Plan Type
Oakland,CA,2020,Mitigation Primary CAP
Memphis,TN,2020,Mitigation Only CAP
Raleigh,NC,2021,Equal Adaptation-Mitigation CAP
Charleston,SC,2021,Mitigation Only CAP
Boulder,CO,2016,Resiliency Plan
Greensboro,NC,2020,Mitigation Primary CAP
Charlotte,NC,2018,Mitigation Primary CAP
Louisville,KY,2020,Resiliency Plan
Philadelphia,PA,2021,Mitigation Primary CAP
Cincinnati,OH,2023,Green Plan
Charleston,SC,2021,Green Plan
Indianapolis,IN,2019,Equal Adaptation-Mitigation CAP
Lexington,KY,2012,Mitigation Primary CAP
Spokane,WA,2021,Mitiagtion Primary CAP
Winston Salem,NC,2020,Green Plan
Erie,PA,2023,Resiliency Primary CAP
Richmond,VA,2023,Equal Adapatation-Mitigation CAP
Augusta,GA,2010,Green Plan
Milwaukee,WI,2023,Equal Adaptation-Mitigation CAP
Nashville,TN,2021,Mitigation Plan
Gary,IN,2021,Mitigation Primary CAP
Norfolk,VA,2019,Equal Adaptation-Mitigation CAP
Pembroke Pines,FL,2014,Green Plan
Atlanta,GA,2018,Mitigation Plan
Atlanta,GA,2015,Mitigation Only CAP
Miami-Dade,FL,2021,Mitigation Primary CAP
Oklahoma City,OK,2020,Adaptation Plan
Aspen,CO,2014,Resiliency Plan
St Petersburg,FL,2019,Equal Adapatation-Mitigation CAP
Gary,IN,2024,Mitigation Primary CAP
Baton Rouge,LA,2018,Green Plan
Birminghma,AL,2013,Green Plan
Asheville,NC,2022,Equal Adaptation-Mitigation CAP
Los Angeles,CA,2018,Resiliency Plan
Ft Lauderdale,FL,2011,Mitigation Primary CAP
Glendale,AZ,2011,Green Plan
Bellevue,WA,2021,Mitigation Only CAP
Lincoln,NE,2021,Equal Adaptation-Mitigation CAP
Chattanooga,TN,2018,Mitigation Primary CAP
Albuquerque,NM,2021,Green Plan
Knoxville,TN,2021,Mitigation Plan
Hampton,VA,2018,Resiliency Plan
Napa,CA,2024,Adaptation Plan
New Orleans,LA,2016,Resiliency Plan
Chicago,IL,2015,Green Plan
Tampa,FL,2021,Resiliency Plan
Chicago,IL,2019,Resiliency Plan
Hartford,CT,2014,Mitigation Plan
San Diego,CA,2024,Resiliency Plan
Orlando,FL,2018,Mitigation Primary CAP
Providence,RI,2019,Equal Adaptation-Mitigation CAP
Houston,TX,2020,Mitigation Only CAP
Jacksonville,FL,2023,Resiliency Plan
Tallahassee,FL,2019,Resiliency Plan
Clarksville,TN,2017,Green Plan
San Diego,CA,2022,Mitigation Primary CAP
New Orleans,LA,2022,Mitigation Primary CAP
Tampa,FL,2023,Equal Adaptation-Mitigation CAP
Porland,OR,2015,Mitigation Primary CAP
Savannah,GA,2009,Green Plan
Hartford,CT,2017,Mitigation Primary CAP
Bellinghma,WA,2018,Mitigation Only CAP
Anaheim,CA,2020,Mitigation Plan
Atlanta,GA,2017,Resiliency Plan
Lakewood,CO,2015,Green Plan
Fayetteville,NC,2009,Green Plan
St Louis,MO,2017,Equal Adaptation-Mitigation CAP
Anchorage,AK,2019,Mitigation Primary CAP
Durham,NC,2021,Mitigation Plan
Cape Coral,FL,2017,Resiliency Plan
Alameda,CA,2019,Equal Adaptation-Mitigation Plan
Lincoln,NE,2021,Mitigation Primary CAP
Alexandria,VA,2019,Mitigation Only CAP
Phoenix,AZ,2021,Mitigation Primary CAP
