City,State,County,Latitude,Longitude
Albany,NY,Albany County,42.6511674,-73.754968
Albuquerque,NM,Bernalillo County,35.0841034,-106.650985
Alexandria,VA,Alexandria city,38.8051095,-77.0470229
Anaheim,CA,Orange County,33.8347516,-117.911732
Anchorage,AK,Anchorage Municipality,61.2163129,-149.894852
Ann Arbor,MI,Washtenaw County,42.2813722,-83.7484616
Asheville,NC,Buncombe County,35.595363,-82.5508407
Aspen,CO,Pitkin County,39.1911128,-106.82356
Aspen,CO,Jefferson County,39.1911128,-106.82356
Athens,GA,Clarke County,33.9597677,-83.376398
Atlanta,GA,Fulton County,33.7489924,-84.3902644
Atlanta,GA,DeKalb County,33.7489924,-84.3902644
Augusta,GA,Richmond County,33.4709714,-81.9748429
Baltimore,MD,Baltimore city,39.2908816,-76.610759
Baton Rouge,LA,East Baton Rouge Parish,30.4494155,-91.1869659
Bayfield,WI,Bayfield County,46.4710241,-91.1983175
Bellevue,WA,King County,47.6144219,-122.192337
Bellingham,WA,Whatcom County,48.7544012,-122.478836
Berkeley,CA,Alameda County,37.8708393,-122.272863
Birmingham,AL,Jefferson County,33.5206824,-86.8024326
Birmingham,AL,Shelby County,33.5206824,-86.8024326
Bloomington,IL,McLean County,40.4797828,-88.9939147
Boise,ID,Ada County,43.6166163,-116.200886
Boston,MA,Suffolk County,42.3554334,-71.060511
Boulder,CO,Boulder County,40.0149856,-105.270545
Bozeman,MT,Gallatin County,45.6794293,-111.044047
Cambridge,MA,Middlesex County,42.3656347,-71.1040018
Cape Coral,FL,Lee County,26.5625742,-81.9438802
Carson,CA,Los Angeles County,33.8322043,-118.2517547
Charleston,SC,Charleston County,32.7884363,-79.9399309
Charleston,SC,Berkeley County,32.7884363,-79.9399309
Charlotte,NC,Mecklenburg County,35.2272086,-80.8430827
Chattanooga,TN,Hamilton County,35.0457219,-85.3094883
Chicago,IL,Cook County,41.8755616,-87.6244212
Cincinnati,OH,Hamilton County,39.1014537,-84.5124602
Clarksville,TN,Montgomery County,36.5277607,-87.3588703
Cleveland,OH,Cuyahoga County,41.4996574,-81.6936772
Columbus,OH,Franklin County,39.9622601,-83.0007065
Columbus,OH,Delaware County,39.9622601,-83.0007065
Columbus,OH,Putnam County,39.9622601,-83.0007065
Columbus,OH,Fairfield County,39.9622601,-83.0007065
Concord,CA,Contra Costa County,37.9768525,-122.0335624
Dallas,TX,Dallas County,32.7762719,-96.7968559
Dallas,TX,Collin County,32.7762719,-96.7968559
Dallas,TX,Denton County,32.7762719,-96.7968559
Des Moines,IA,Polk County,41.5868654,-93.6249494
Detroit,MI,Monroe County,42.3315509,-83.0466403
Detroit,MI,Wayne County,42.3315509,-83.0466403
Durham,NC,Durham County,35.996653,-78.9018053
Elk Grove,CA,Sacramento County,38.4087993,-121.3716178
Erie,PA,Erie County,42.1294712,-80.0852695
Eugene,OR,Lane County,44.0505054,-123.0950506
Evanston,IL,Cook County,42.0470043,-87.6846053
Fayetteville,NC,Cumberland County,35.0525759,-78.878292
Fort Collins,CO,Larimer County,40.5871782,-105.0770113
Fort Lauderdale,FL,Broward County,26.1223084,-80.1433786
Gary,IN,Lake County,41.6045061,-87.3373495
Glendale,AZ,Maricopa County,33.5386858,-112.185994
Glendale,CA,Los Angeles County,34.1469416,-118.2478471
Greensboro,NC,Guilford County,36.0726355,-79.7919754
Hampton,VA,Hampton city,37.0264414,-76.3442846
Hartford,CT,Hartford County,41.764582,-72.6908547
Henderson,NV,Clark County,36.0319843,-114.9822486
Houston,TX,Harris County,29.7589382,-95.3676974
Houston,TX,Fort Bend County,29.7589382,-95.3676974
Indianapolis,IN,Marion County,39.7683331,-86.1583502
Iowa City,IA,Johnson County,41.6612561,-91.5299106
Iowa City,IA,Hardin County,41.6612561,-91.5299106
Jacksonville,FL,Duval County,30.3321838,-81.655651
Knoxville,TN,Knox County,35.9603948,-83.9210261
Lakewood,CO,Jefferson County,39.7085736,-105.0846694
