City Name,State Name,Year,Plan Type,Threats,Adaptation Measures,Mitigation Measures,Resilience Measures
Oakland,CA,2020,Mitigation Primary CAP,"Sea level rise, wildfire risk, air pollution from industrial facilities, displacement of residents and businesses, urban heat islands.","Fund Creation and Operation of Resilience Hubs, Enhance Community Energy Resilience, Fund & Implement Citywide Vulnerability Assessment & Comprehensive Adaptation Plan, Wildfire Risk Reduction, Identify and Reduce Financial Risks from Climate Change, Expand and Protect Green Infrastructure & Biodiversity","Align All Planning Policies & Regulations with ECAP Goals & Priorities, Align Permit and Project Approvals with ECAP Priorities, Rethink Curb Space, Ensure Equitable and Clean New Mobility, Eliminate Natural Gas in New Buildings, Plan for All Existing Buildings to be Efficient and All-Electric by 2040, Prevent Refrigerant Pollution, Reduce Lifecycle Emissions from Building Materials, Require All Major Retrofits of City Facilities to be All-Electric, Eliminate Disposal of Compostable Organic Materials to Landfills, Eliminate Single-Use Plastics & Prioritize Reuse in Food Preparation, Distribution, and Sale, Develop Local Carbon Investment Program, Expand and Protect Tree Canopy Coverage, Rehabilitate Riparian Areas and Open Space, Explore Carbon Farming, Reduce Emissions from Port Vehicles and Equipment, Reduce Emissions from Electricity, Phase Out Fossil Fuel Dependency in All City Agreements and Contracts, Accelerate City Fleet Vehicle Replacement","Fund Creation and Operation of Resilience Hubs, Enhance Community Energy Resilience, Fund and Implement Citywide Vulnerability Assessment and Comprehensive Adaptation Plan, Wildfire Risk Reduction, Identify and Reduce Financial Risks from Climate Change, Expand and Protect Green Infrastructure & Biodiversity"
Salt Lake City,UT,2017,Adaptation Plan,"Extreme heat, Water scarcity, Air pollution, Pathogens, Infrastructure damage","plant trees, protect parks, preserve open space, encourage white roofs and sidewalks, establish public water stations, establish cooling centers, organize transportation, suspend utilities shut-offs, increase air conditioning capacity of nursing homes, conduct health impact assessments, incorporate emergency evacuation routes, education and job training programs, prepare for post-event assessments, identify health hazards, increase employer and worker training, increase community involvement, integrate climate change considerations with hazard assessments, track air quality and pollen count, develop early-warning system, develop strategies to address asthma rates","Suspend utilities shut-offs during extreme heat events, Minimize the effect of the urban heat island by planting trees, protecting parks, preserving open space, and encouraging white roofs and sidewalks, Reduce emissions of carbon dioxide, carbon monoxide, hydrocarbons, oxides of nitrogen and other combustion products, Commit Salt Lake City to zero emissions from mobile sources by 2030 and zero emissions from all sources by 2040, Incorporate sector-based best practices and opportunities to reduce emissions.","Improving infrastructure to withstand extreme weather events, expanding public health infrastructure, health impact assessments on major developments, incorporating emergency evacuation routes, education and job training programs for vulnerable communities, preparing for post-event assessments, identifying health hazards and prioritizing improvements, increasing employer and worker training, involving community members in planning, integrating climate change considerations, minimizing urban heat island effect, improving warning systems and information distribution, enhancing communication between public health and other entities, establishing public water stations and cooling centers, organizing transportation to cooling centers, suspending utilities shut-offs during extreme heat, increasing air conditioning capacity of nursing homes and adult care facilities."
Memphis,TN,2020,Mitigation Only CAP,"flooding, extreme heat, drought, damaging wind, severe weather events","green infrastructure, Mid-South Regional Resilience Plan, afforestation and reforestation, community/neighborhood-scale demonstration projects, stormwater drainage manual updates, engineering designs and alternatives to traditional solutions for flooding, institutional capacity to address changing climate adaptation needs","Implement Green Building Standards, Improve Low-Income Housing Energy Efficiency, Enhance and Expand Energy Outreach and Education Programs, Retrofit Outdoor Streetlights to LED, Expand Financing Options for Residential Energy Efficiency Retrofits, Decarbonize the Electric Grid with Renewable Energy, Encourage Electric Vehicle Adoption and the Development of Charging Infrastructure.","green infrastructure, engineering designs and alternatives to traditional solutions, Mid-South Regional Resilience Plan, community/neighborhood-scale demonstration projects, afforestation, reforestation, urban tree canopy expansion"
Raleigh,NC,2021,Equal Adaptation-Mitigation CAP,"extreme precipitation, increasing temperatures, drought, hurricanes, flooding",Promote community resilience.,"Increase non-vehicle mobility, Explore opportunities to position select greenways as transportation options, Mitigate congestion, Evaluate opportunities to reduce commuter trips, Improve freight efficiency, Limit development in hazard-prone areas, Incentivize and encourage green infrastructure, Improve efficiency of waste collection, Improve education and outreach on waste reduction, Wastewater processing efficiency improvements and methane capture, Explore and promote additional waste diversion opportunities, Encourage and incentivize adoption of alternative fuel and electric vehicles, Encourage and plan the transition of bus fleets to alternative fuels and electric, Promote and encourage installation of electric vehicle charging stations, Transportation fuel efficiency improvements.","Promote community resilience, Promote waste reduction and analysis, Evaluate opportunities for pilot projects to divert waste, Develop opportunities for open and natural space, Promote carbon sequestration and urban heat islands, Limit development in hazard-prone areas, Encourage equitable hazard mitigation programs, Update design standards to mitigate stormwater impacts, Continue to assess floodplain development ordinances, Encourage and incentivize green infrastructure, Establish a green infrastructure policy for City projects and facilities, Incentivize and encourage opportunities to support green space."
Winston-Salem,NC,2020,Green Plan,"Extreme temperatures, Drought, Flooding, Man-made environmental hazards, Climate change","Utilize an urban forest assessment to identify available spaces for Community Roots Day events, Continue developing new and existing pollinator gardens in city parks, Identify parks for planting pollinator gardens, Increase native pollinator plants in landscape maintenance and flower beds, Identify local partnerships to expand pollinator-friendly habitats throughout the community.","Increasing energy efficiency, Replacing lights in city facilities with LEDs, Establishing energy efficiency standards for new or renovated government buildings, Exploring renewable energy generation options, Partnering with local municipalities to support renewable energy growth, Investing in solar panels, Promoting and expanding energy conservation and sustainability measures, Expanding and enforcing sustainable land use planning strategies, Promoting the use of alternative vehicles and fuels, Participating in energy conservation efforts, Encouraging diverse transportation options, Continuing to install electric vehicle charging stations, Increasing recycling participation, Promoting a green purchasing program, Educating on recycling best practices, Monitoring recycling market conditions.","Continue to participate in Daylight Hour, replace lights in city facilities with LEDs, establish standards for new or renovated government buildings to meet energy efficiency standards, work with local utility and planning department to identify potential locations for solar panels, partner with other municipalities to support renewable energy, assess the state of the urban forest, continue to plant trees, expand and upgrade vegetative surfaces in parks, develop and establish pollinator gardens, implement pollinator-friendly practices in landscaping, increase recycling participation in city facilities, promote a green purchasing program, educate city employees on recycling best practices, monitor recycling market conditions, pursue new recycling services contract."
Charleston,SC,2021,Mitigation Only CAP,"flooding, extreme storms, sea level rise, spiking heat waves, droughts","Planting trees, Rooftop solar energy installations with battery backup, Protecting carbon sinks, Acquiring flood damaged properties and converting land use to natural conditions, Expanding Charleston Rainproof and Adopt a Drain programs, Tree plantings in underserved communities, Strengthening tree protection regulations, Street Tree Program.","Increase energy efficiency and conservation, Protect and promote natural ecosystems, Plant and protect tree canopy, Increase use of public transit systems, Increase employee commuter options, Embrace electric and other low or no emission motors, Improve land use policy to reduce vehicle miles travelled.",N/A
Boise,ID,2021,Mitigation Primary CAP,"Heat stress days, heavy precipitation days, drought, poor air quality days, threats to water quality.","Increase education about water supply and demand, Develop a regional water resources planning group, Proactively create and restore native vegetation communities, Complete mapping of invasive species, Update development regulations for water-conserving landscaping, Increase education about water conservation opportunities, Improve food production and agricultural practices, Develop metrics and tracking for solar installation, Identify barriers to energy storage adoption, Maintain inventory of critical city government facilities, Develop an education campaign for resilience in building sectors, Consider back-up power for critical infrastructure, Integrate resilience planning in city facility siting and operations, Create a demonstration project for resilience, Coordinate waste management protocols, Arrange a network of community resilience centers, Expand community car-share programs, Offer free public transit rides on poor air quality days, Expand transportation incentives for city employees, Leverage canals as bike and pedestrian pathways, Collaborate to enhance the regional bus system, Increase micro-mobility options.","solar panels, transportation options, utility-scale renewable energy, building efficiency, electric vehicles, Climate Economy Accelerator/Incubator, renewable energy credits (RECs), fleet replacement plan to convert vehicles and equipment, thermal energy implementation plan, electrify city government buildings, climate action and efficiency strategy, utility energy efficiency programs, carbon offsets, new technologies, waste reduction, electrification of lawn and garden equipment, electric lawn and garden equipment, vehicle trip reduction, airline and freight efficiency, geothermal energy, distributed renewable energy.","Increase education about water supply, demand and renewed water opportunities, Develop a regional water resources planning group, Protect and restore native vegetation communities and species habitat, Mapping and restoration of invasive species, Update regulations for water-conserving landscaping, Education about water conservation opportunities, Improve food production and agricultural practices, Maintain inventory and assessment of critical facilities, Develop awareness campaigns for resilience in building and energy sectors, Consider back-up power and redundancies for critical infrastructure, Integrate resilience planning and vulnerability considerations in facilities, Create a resilience demonstration project, Develop waste management protocols under climate scenarios, Arrange network of distributed community resilience centers, Develop smart technologies for energy and communications infrastructure, Retrofitting or relocating at-risk structures, Resilience demonstration sites, Roads and civil infrastructure maintenance with climate in mind, Enhance community resilience and ability to adapt, Plan for recycled water as resilient supply, Design parks that serve as flood control facilities."
Boulder,CO,2016,Resiliency Plan,"Unpredictable environmental impacts, Rising housing and commercial real estate costs, Flash flooding, Increasing global temperatures, Economic disruption.",N/A,N/A,"Make Resilience Accessible, Activate Volunteerism, Assess Economic Strength, Prepare Businesses, Connect for Rapid Recovery, Foster Artistic Engagement, Create Community Resilience Centers, Foster Climate Readiness, Advance Sustainability with Resilience, Embed Resilience in the Comprehensive Plan, Manage Thriving Ecosystems, Put Science in the Hands of the Community, Ensure the Resilience of the Local Food System, Make Data Accessible to All, Crowd Source Solutions"
St. Louis,MO,2017,Equal Adaptation-Mitigation CAP,"Extreme heat, river flooding, heavy rainstorms, drought, tornadoes","Minimize removal of trees and landscape biomass, Develop new urban forests and ecological restoration areas, Use vacant land as stormwater management, Continue to naturalize public and private landscapes, Study the effects of climate change on plant and tree species & maintain an inventory of appropriate plant & tree species that can tolerate the altered climate, Encourage restoration or reconstruction of wetlands for ground water recharge & discharge to reduce impact of droughts on rivers & streams, Develop green waterways to restore natural systems, Provide cooling / heating centers and utility assistance, Educate vulnerable populations on health related risks of extreme hot and cold weather and where to find resources, Increase mobility to cooling and heating centers, Provide storm shelters around the City, Continually update emergency response procedures, Upgrade to an Emergency Alert System for notification of severe weather and other emergencies, Evaluate building codes to address building resiliency, Develop a Passive Survivability Plan, Install cool roofs, Install vegetative roofs, Increase the City’s tree canopy, Develop clean air strategies, Evaluate and scale vector-borne disease programs and develop surveillance systems, Educate residents on stormwater best management practices, Relocate homes from flood prone areas, Promote green infrastructure on residential and commercial properties, Reduce water usage in buildings, Develop a riverfront resilient to flooding, Encourage restoration or reconstruction of wetland areas for flood control, Protect vulnerable water treatment facilities, Upgrade gray infrastructure.","Create a monitoring and implementation system for greenhouse gas reductions to track progress, Develop an energy efficiency equity index for use by the City, Develop a detailed plan for implementation of mitigation actions, Improve water efficiency through infrastructure upgrades and community education, Reduce waste and consumption by expanding composting services and adopting waste diversion programs, Integrate land use and transportation for healthy, compact development by expanding public transit infrastructure, Reduce congestion and vehicle emissions by leveraging air quality funding and enforcing anti-idling ordinances, Support alternative fuel vehicles by developing infrastructure for electric vehicles, Facilitate alternative commutes by expanding bike-ped infrastructure and promoting ride-share, Empower the community for a prosperous green economy through job programs and education, Create vibrant neighborhoods that advance public health and safety through healthy community initiatives.",N/A
Elk Grove,CA,2019,Mitigation Only CAP,"Increased rate of wildfires, negative impacts on wildlife, heat and deteriorating public health, decreasing supply of fresh water, increased severity and frequency of flood events.",N/A,"Promote Energy Conservation, Upgrade Residential Appliances in Existing Development, Nonresidential Appliances in Existing Development, Green Building Practices in New Construction, Zero Net Energy Standards in New Construction, Electrification in New and Existing Residential Development, Solar Photovoltaics in Residential and Commercial Development, SMUD Greenergy and SolarShares Programs, Increase City Tree Planting, Waste Reduction, Organic Waste Reduction, Local Goods, Transit-Oriented Development",N/A
Bozeman,MT,2021,Equal Adaptation-Mitigation CAP,"Heat, flooding, drought, wildfire, winter storms",N/A,"Improve Efficiency of Existing Buildings, Achieve Net Zero Energy New Construction, Electrify Buildings, Increase Utility Clean Energy Mix, Develop and Promote Utility Green Power Programs, Increase Community-Based Distributed Renewable Energy Generation, Facilitate Compact Development Patterns, Increase Walking Bicycling Carpooling and Use of Transit, Decrease Direct Vehicle Emissions, Improve Air Travel Efficiency, Move Toward a Circular Economy and Zero Waste Community, Cultivate a Robust Local Food System, Manage and Conserve Water Resources, Manage Land and Resources to Sequester Carbon","Improve Efficiency of Existing Buildings, Achieve Net Zero Energy New Construction, Electrify Buildings, Increase Utility Clean Energy Mix, Develop and Promote Utility Green Power Programs, Increase Community-Based Distributed Renewable Energy Generation, Facilitate Compact Development Patterns, Reduce Vulnerability of Neighborhoods and Infrastructure to Natural Hazards, Enhance Social Infrastructure and Community Preparedness, Increase Walking, Bicycling, Carpooling and Use of Transit, Decrease Direct Vehicle Emissions, Improve Air Travel Efficiency, Move Toward a Circular Economy and Zero Waste Community, Cultivate a Robust Local Food System, Manage and Conserve Water Resources, Manage Land and Resources to Sequester Carbon"
Greensboro,NC,2020,Mitigation Primary CAP,N/A,N/A,N/A,N/A
Charlotte,NC,2018,Mitigation Primary CAP,N/A,N/A,"Update the Fleet and Motorized Equipment Asset Management Policy, Begin installation of a telematics system across the City’s entire vehicle fleet, Establish the Staggered Introduction of Electric and Other Alternative Fuel Vehicles, Consider Opportunities for Retrofitting of Vehicles to Electric Drivetrain, Develop a Promotion and Awareness Campaign Around Electric Vehicles, Deploy a Citywide EV Charging System, Increase Access to Zero Carbon Mobility Options, Reduce the Carbon Intensity of Grid Supplied Electricity by at Least 90% by 2045, Target a carbon intensity on the grid of at least 90% per kWh by 2045, Identify Opportunities for a Bioenergy with Carbon Capture and Storage (BECCS) Combined Heat and Power (CHP) Unit, Negotiate to Develop Tariffs for Low Carbon Electricity","Resilient Innovation Districts, development and implementation of Resilient Innovation Districts (RIDS), creation of a Resilient City, engagement with stakeholders, formation of a Resilient Innovation District through dialogue with stakeholders, establishment of criteria for development of Resilient Innovation Districts."
Des Moines,IA,2023,Equal Adaptation-Mitigation CAP,"Extreme Hot Temperatures, Extreme Precipitation and Flooding, Severe Storm and Wind, Water Scarcity, Wildfire","Educate Community Members about Climate Risks and Preparedness, Monitor and Share Climate Data, Identify Champions and Build Climate Migration Knowledge","Upgrade Efficiency at City Facilities, Pilot Municipal Decarbonization Projects, Advance Building Decarbonization Incentives, Education, and Group Buys, Leverage Federal Funding to Fill Gaps in Energy Efficiency Incentives, Expand Energy Efficiency and Demand Management Tools and Resources, Improve Residential Efficiency, Promote Infill, Redevelopment, and Adaptive Reuse, Electrify Municipal Fleet When Affordable and Reasonable, Support Electric Vehicle Charging Infrastructure, Implement the Urban Forest Master Plan, Expand Solar Adoption and Incentives, Install Alternative Energy Sources with Storage for Municipal Facilities, Collaborate on and Maintain Clean Energy Implementation Plan, Reduce Waste Generation, Expand Utility-Scale Clean Energy Options.","Collaborate on and Maintain Clean Energy Implementation Plan, Improve Transit Coordination and Engagement, Increase Coordination of Local Food Systems, Reconvene the Food Security Taskforce, Monitor and Share Climate Data, Expand Energy Efficiency and Demand Management Tools and Resources, Improve Residential Efficiency, Advance Building Decarbonization Incentives, Education, and Group Buys, Expand Solar Adoption and Incentives, Promote Infill, Redevelopment, and Adaptive Reuse, Expand Active Transportation Education and Promote Incentives, Provide Transportation Electrification Education and Incentives, Educate about Pollution Prevention and Stormwater Management, Reduce Recycling Contamination, Educate Community Members about Climate Risks and Preparedness, Identify Champions and Build Climate Migration Knowledge, Upgrade Efficiency at City Facilities, Pilot Municipal Decarbonization Projects, Consider Development Standards and Permitting Processes for Clean Energy, Install Alternative Energy Sources with Storage for Municipal Facilities, Plan for Walkable and Transit-Supportive Targeted Neighborhoods, Improve Bicycle and Pedestrian Infrastructure, Electrify Municipal Fleet When Affordable and Reasonable, Support Electric Vehicle Charging Infrastructure, Advance Urban Forest Master Plan Implementation, Refine Tree Planting and Mitigation Standards, Manage Public Properties for Multiple Benefits, Advance Master Drainage and Watershed Management Plans, Accelerate Flood Mitigation and Stormwater Improvement Projects, Provide Waste Diversion Options in Public Spaces and at Public Events, Leverage Federal Funding to Fill Gaps in Energy Efficiency Incentives, Prioritize Resilient Capital Improvement Projects, Advance 24/7 Carbon-free Transition and Management, Explore Regional Energy Projects and Programs, Promote Best Management Practices for Stormwater and Landcover on Private Properties, Create and Promote Community Resilience Hubs, Build Resilience Networks, Develop Emergency Plans for Municipal Facilities, Install Backup Energy Generation and Storage at Critical Municipal Facilities, Construct Safe Room(s) at Municipal Facilities, Underground Utilities, Explore Enhanced Reliability/Resiliency Utility Projects, Create Neighborhood Infrastructure Rehabilitation Program."
