,STATE,STATEABBRV,COUNTY,STCOFIPS,TRACT,RISK_SCORE,RISK_SPCTL,EAL_VALT,SOVI_SCORE,RESL_SCORE,AVLN_EALS,AVLN_EALT,CFLD_EALS,CFLD_EALT,CWAV_EALS,CWAV_EALT,DRGT_EALS,DRGT_EALT,HAIL_EALS,HAIL_EALT,HWAV_EALS,HWAV_EALT,HRCN_EALS,HRCN_EALT,ISTM_EALS,ISTM_EALT,LNDS_EALS,LNDS_EALT,RFLD_EALS,RFLD_EALT,SWND_EALS,SWND_EALT,TRND_EALS,TRND_EALT,WFIR_EALS,WFIR_EALT,WNTW_EALS,WNTW_EALT
0,Alabama,AL,Autauga,1001,20100,15.78,4.67,203580.4,23.95,40.63,,,,,0,0,0,0,64.3,4390.27,72.11,24292.67,48.85,27467.92,14.73,412.64,73.95,1676.59,79.16,54181.57,49.45,8908.42,56.72,75225.98,39.11,121.61,27.96,231.31
1,Alabama,AL,Autauga,1001,20200,33.75,19.23,306311.13,47.16,40.63,,,,,0,0,0,0,69.74,6988.52,74.95,28150.48,53.11,43440.9,17.29,507.52,54.18,413.79,85.69,93614.09,57.22,12830.89,63.05,104244.03,52.56,385.92,30.05,301.79
2,Alabama,AL,Autauga,1001,20300,32.69,17.63,289759.06,50.53,40.63,,,,,0,0,74.74,46.79,72.35,8749.41,83.53,44024.92,55.46,54580.82,23.46,760.07,0,0,39.49,2504.25,64.08,17190.85,70.1,143469.35,64.18,896.1,33.44,433.19
3,Alabama,AL,Autauga,1001,20400,33.6,19.09,351960.58,28.35,40.63,,,,,0,0,76.18,82.97,73.48,9593.46,87.9,58098.43,56.49,60083.12,28.4,972.92,40.92,18.1,58.86,13470.24,67.77,20110.8,74.55,171792.18,45.37,216.54,35.82,536.74
4,Alabama,AL,Autauga,1001,20501,35.37,21.11,350837.88,35.14,40.63,,,,,0,0,78.96,202.76,73.87,9926.41,88.17,59140.74,56.9,62296.62,28.87,992.78,69.4,1293.06,32.95,871.25,68.44,20681.76,75.24,176276.17,49.18,295.72,36.1,550.03
5,Alabama,AL,Autauga,1001,20502,18.94,6.83,253208.13,15.76,40.63,,,,,0,0,0,0,69.6,6910.51,83.9,44928.27,53.04,43149.57,23.07,744.58,69.26,1280.84,0,0,60.69,14882.86,67.47,128313.79,41.67,155.74,32.81,405.5
6,Alabama,AL,Autauga,1001,20503,29.26,13.52,300809.89,32.38,40.63,,,,,0,0,0,0,72.29,8694.92,85.42,49485.07,55.4,54307.87,25.28,836.8,72.03,1504.16,35.68,1454.87,64.97,17821.03,71.33,151044.75,45.38,216.86,34.23,466.11
7,Alabama,AL,Autauga,1001,20600,40.66,27.94,376783.16,45.16,40.63,,,,,0,0,0,0,72.76,9064.84,85.93,51032.89,55.85,56662.96,25.9,864.46,76.71,1957.93,81.78,66938.21,65.86,18506.91,72.25,156640.34,51.24,348.49,34.6,482.74
8,Alabama,AL,Autauga,1001,20700,53.22,46.76,387050.67,84.05,40.63,,,,,0,0,82.4,563.93,73.45,9570.16,84.41,46317.07,56.56,60448.09,24.54,804.88,78.46,2175.12,80.77,61565.27,65.9,18557.55,71.81,154009.11,50.62,331.92,34.24,466.26
9,Alabama,AL,Autauga,1001,20801,34.02,19.65,372614.3,23.34,40.63,,,,,0,0,88.57,3344.55,74.89,10883.45,83.15,43065.8,59.05,74609.77,23.88,777.92,69.45,1296.78,68.45,25679.65,67.9,20234.66,73.6,165501.07,77.86,2931.25,34.88,494.76
10,Alabama,AL,Autauga,1001,20803,50.69,42.65,366656.79,82.2,40.63,,,,,0,0,77.03,112.04,70.48,7483.19,89.1,63381.17,54.38,49433.9,29.33,1013.08,84.12,3060.54,64.12,19352.57,65.91,18562.94,76.23,183107.7,54.34,442.49,35.83,537.42
11,Alabama,AL,Autauga,1001,20804,42.1,30.03,457914.79,24.81,40.63,,,,,0,0,80.42,319.29,76.21,12228,92.08,82954.81,59.51,77096.84,36.5,1366.33,75.72,1849.06,34.99,1293.41,74.22,26772.14,82.58,232012.49,58.07,585.24,40.07,741.78
12,Alabama,AL,Autauga,1001,20805,16.92,5.16,247107.13,11.93,40.63,,,,,0,0,80.85,363.95,69.16,6659.35,83,42714.16,52.85,42307.24,22.23,708.9,71.54,1464.45,31.87,668.75,59.69,14258.02,66.49,122602.51,56.68,528.61,32.44,390.83
13,Alabama,AL,Autauga,1001,20901,26.73,11.5,283316.09,30.32,40.63,,,,,0,0,84.94,1189.62,71.13,7876.4,83.79,44644.16,54.81,51435.25,23.31,754.27,60.06,695.96,43.08,3675.98,62.48,16090.85,68.78,135984.41,63.33,844.39,33.44,432.84
14,Alabama,AL,Autauga,1001,20902,25.87,11.01,260546.84,37.87,40.63,,,,,0,0,83.78,844.74,67.45,5732.81,82.82,42280.27,52.36,40253.82,21.62,685.31,60.47,718.27,35.86,1500.84,58.51,13570.04,69.04,137439.07,61.79,760.25,32.23,382.48
15,Alabama,AL,Autauga,1001,21000,32.15,16.72,273707.87,55.93,40.63,,,,,0,0,82.66,611.71,68.04,6052.79,79.82,36071.2,52.91,42568.57,19.57,600.78,66.19,1059.71,54.34,9682.94,58.48,13548.06,70.27,144642.7,56.32,514.71,31.29,346.52
16,Alabama,AL,Autauga,1001,21100,59.97,55.82,431882.18,92.55,40.63,,,,,0,0,93.02,12647.78,71.54,8152.88,83.36,43619.35,59.19,75249.81,22.82,734.63,71.22,1435.66,82.14,69064.6,64.87,17747.67,75.32,176807.44,71.9,1588.6,35.39,517.74
17,Alabama,AL,Baldwin,1003,10100,94.13,93.94,2762223.31,56.71,79.84,,,74.82,100.13,0,0,93.68,15699.67,56.99,2518.52,66.39,18156,96.73,2392507.17,16.06,462.34,67,1116.94,73.96,37500.46,48.44,8474.47,70.47,145748.48,92.81,67884.29,45.03,1015.37
18,Alabama,AL,Baldwin,1003,10200,86.1,86.13,1645555.2,54.33,79.84,,,0,0,0,0,81.94,495.14,53.43,1985.64,62.02,14609.25,92.69,1418791.28,5.25,119.79,41.36,24.9,31.48,604.37,42.8,6312.13,62.26,99952.5,91.28,46111.81,41.55,816.48
19,Alabama,AL,Baldwin,1003,10300,99.38,99.86,7281296.81,65.3,79.84,,,74.96,108.55,0,0,87.19,2257.73,67.12,5581.22,82.15,40700.55,99.77,6484549.37,44.28,1869.2,82.28,2734.44,64.42,19723.98,67.24,19674.15,92.95,362766.35,95.75,165536.68,60.64,2276.27
20,Alabama,AL,Baldwin,1003,10400,96.34,96.03,4681667.18,20.41,79.84,,,0,0,0,0,93.95,17174.04,61.15,3413.3,75.17,28447.02,99.07,4127522.67,6.63,161.71,57.17,546.43,51.74,7892.25,55.35,11783.11,78.7,201377.62,95.71,163745.48,52.99,1560.16
