City,State,plan_list
ALAMEDA,CA,"['2019, Equal Adaptation-Mitigation Plan']"
ALBUQUERQUE,NM,"['2021, Green Plan']"
ALEXANDRIA,VA,"['2019, Mitigation Only CAP']"
ANAHEIM,CA,"['2020, Mitigation Plan']"
ANCHORAGE,AK,"['2019, Mitigation Primary CAP']"
ASHEVILLE,NC,"['2022, Equal Adaptation-Mitigation CAP']"
ASPEN,CO,"['2014, Resiliency Plan']"
ATLANTA,GA,"['2018, Mitigation Plan', '2015, Mitigation Only CAP', '2017, Resiliency Plan']"
AUGUSTA,GA,"['2010, Green Plan']"
BATON ROUGE,LA,"['2018, Green Plan']"
BELLEVUE,WA,"['2021, Mitigation Only CAP']"
BELLINGHAM,WA,"['2018, Mitigation Only CAP']"
BIRMINGHAM,AL,"['2013, Green Plan']"
BOULDER,CO,"['2016, Resiliency Plan']"
CAPE CORAL,FL,"['2017, Resiliency Plan']"
CHARLESTON,SC,"['2021, Mitigation Only CAP', '2021, Green Plan']"
CHARLOTTE,NC,"['2018, Mitigation Primary CAP']"
CHATTANOOGA,TN,"['2018, Mitigation Primary CAP']"
CHICAGO,IL,"['2015, Green Plan', '2019, Resiliency Plan']"
CINCINNATI,OH,"['2023, Green Plan']"
CLARKSVILLE,TN,"['2017, Green Plan']"
DURHAM,NC,"['2021, Mitigation Plan']"
ERIE,PA,"['2023, Resiliency Primary CAP']"
FAYETTEVILLE,NC,"['2009, Green Plan']"
FORT LAUDERDALE,FL,"['2011, Mitigation Primary CAP']"
GARY,IN,"['2021, Mitigation Primary CAP', '2024, Mitigation Primary CAP']"
GLENDALE,AZ,"['2011, Green Plan']"
GREENSBORO,NC,"['2020, Mitigation Primary CAP']"
HAMPTON,VA,"['2018, Resiliency Plan']"
HARTFORD,CT,"['2014, Mitigation Plan', '2017, Mitigation Primary CAP']"
HOUSTON,TX,"['2020, Mitigation Only CAP']"
INDIANAPOLIS,IN,"['2019, Equal Adaptation-Mitigation CAP']"
JACKSONVILLE,FL,"['2023, Resiliency Plan']"
KNOXVILLE,TN,"['2021, Mitigation Plan']"
LAKEWOOD,CO,"['2015, Green Plan']"
LEXINGTON,KY,"['2012, Mitigation Primary CAP']"
LINCOLN,NE,"['2021, Equal Adaptation-Mitigation CAP', '2021, Mitigation Primary CAP']"
LOS ANGELES,CA,"['2018, Resiliency Plan']"
LOUISVILLE,KY,"['2020, Resiliency Plan']"
MEMPHIS,TN,"['2020, Mitigation Only CAP']"
MIAMI,FL,"['2021, Mitigation Primary CAP']"
MILWAUKEE,WI,"['2023, Equal Adaptation-Mitigation CAP']"
NAPA,CA,"['2024, Adaptation Plan']"
NASHVILLE,TN,"['2021, Mitigation Plan']"
NEW ORLEANS,LA,"['2016, Resiliency Plan', '2022, Mitigation Primary CAP']"
NORFOLK,VA,"['2019, Equal Adaptation-Mitigation CAP']"
OAKLAND,CA,"['2020, Mitigation Primary CAP']"
OKLAHOMA CITY,OK,"['2020, Adaptation Plan']"
ORLANDO,FL,"['2018, Mitigation Primary CAP']"
PEMBROKE PINES,FL,"['2014, Green Plan']"
PHILADELPHIA,PA,"['2021, Mitigation Primary CAP']"
PHOENIX,AZ,"['2021, Mitigation Primary CAP']"
PORTLAND,OR,"['2015, Mitigation Primary CAP']"
PROVIDENCE,RI,"['2019, Equal Adaptation-Mitigation CAP']"
RALEIGH,NC,"['2021, Equal Adaptation-Mitigation CAP']"
RICHMOND,VA,"['2023, Equal Adapatation-Mitigation CAP']"
SAN DIEGO,CA,"['2024, Resiliency Plan', '2022, Mitigation Primary CAP']"
SAVANNAH,GA,"['2009, Green Plan']"
SHREVEPORT,LA,"['2013, Green Plan']"
SPOKANE,WA,"['2021, Mitiagtion Primary CAP']"
ST. LOUIS,MO,"['2017, Equal Adaptation-Mitigation CAP']"
ST. PETERSBURG,FL,"['2019, Equal Adapatation-Mitigation CAP']"
TALLAHASSEE,FL,"['2019, Resiliency Plan']"
TAMPA,FL,"['2021, Resiliency Plan', '2023, Equal Adaptation-Mitigation CAP']"
WASHINGTON,DC,"['2019, Green Plan']"
WINSTON-SALEM,NC,"['2020, Green Plan']"
