NAME,POP,state,county,countyName,stateName,FIPS
"Fayette County, Illinois",21336,17,051,Fayette County, Illinois,17051
"Logan County, Illinois",28618,17,107,Logan County, Illinois,17107
"Saline County, Illinois",23491,17,165,Saline County, Illinois,17165
"Massac County, Illinois",13772,17,127,Massac County, Illinois,17127
"Cass County, Illinois",12147,17,017,Cass County, Illinois,17017
"Starke County, Indiana",22995,18,149,Starke County, Indiana,18149
"Whitley County, Indiana",33964,18,183,Whitley County, Indiana,18183
"White County, Indiana",24102,18,181,White County, Indiana,18181
"Lake County, Illinois",696535,17,097,Lake County, Illinois,17097
"Huntington County, Indiana",36520,18,069,Huntington County, Indiana,18069
"Jackson County, Indiana",44231,18,071,Jackson County, Indiana,18071
"Hendricks County, Indiana",170311,18,063,Hendricks County, Indiana,18063
"Jay County, Indiana",20436,18,075,Jay County, Indiana,18075
"Sullivan County, Indiana",20669,18,153,Sullivan County, Indiana,18153
"Tippecanoe County, Indiana",195732,18,157,Tippecanoe County, Indiana,18157
"Union County, Indiana",7054,18,161,Union County, Indiana,18161
"Shelby County, Indiana",44729,18,145,Shelby County, Indiana,18145
"Noble County, Indiana",47744,18,113,Noble County, Indiana,18113
"Owen County, Indiana",20799,18,119,Owen County, Indiana,18119
"Perry County, Indiana",19169,18,123,Perry County, Indiana,18123
"Posey County, Indiana",25427,18,129,Posey County, Indiana,18129
"Hamilton County, Indiana",338011,18,057,Hamilton County, Indiana,18057
"Fulton County, Indiana",19974,18,049,Fulton County, Indiana,18049
"Grant County, Indiana",65769,18,053,Grant County, Indiana,18053
"Fountain County, Indiana",16346,18,045,Fountain County, Indiana,18045
"Bartholomew County, Indiana",83779,18,005,Bartholomew County, Indiana,18005
"Carroll County, Indiana",20257,18,015,Carroll County, Indiana,18015
"Clark County, Indiana",118302,18,019,Clark County, Indiana,18019
"Clinton County, Indiana",32399,18,023,Clinton County, Indiana,18023
"Dearborn County, Indiana",49458,18,029,Dearborn County, Indiana,18029
"Lawrence County, Indiana",45370,18,093,Lawrence County, Indiana,18093
"Greene County, Indiana",31922,18,055,Greene County, Indiana,18055
"Adams County, Iowa",3602,19,003,Adams County, Iowa,19003
"Benton County, Iowa",25645,19,011,Benton County, Iowa,19011
"Audubon County, Iowa",5496,19,009,Audubon County, Iowa,19009
"Bremer County, Iowa",25062,19,017,Bremer County, Iowa,19017
"Mahaska County, Iowa",22095,19,123,Mahaska County, Iowa,19123
"Hardin County, Iowa",16846,19,083,Hardin County, Iowa,19083
"Ida County, Iowa",6860,19,093,Ida County, Iowa,19093
"Henry County, Iowa",19954,19,087,Henry County, Iowa,19087
"Hancock County, Iowa",10630,19,081,Hancock County, Iowa,19081
"Dubuque County, Iowa",97311,19,061,Dubuque County, Iowa,19061
"Davis County, Iowa",9000,19,051,Davis County, Iowa,19051
"Emmet County, Iowa",9208,19,063,Emmet County, Iowa,19063
"Pocahontas County, Iowa",6619,19,151,Pocahontas County, Iowa,19151
"Palo Alto County, Iowa",8886,19,147,Palo Alto County, Iowa,19147
"Van Buren County, Iowa",7044,19,177,Van Buren County, Iowa,19177
"Warren County, Iowa",51466,19,181,Warren County, Iowa,19181
"Sioux County, Iowa",34855,19,167,Sioux County, Iowa,19167
"Poweshiek County, Iowa",18504,19,157,Poweshiek County, Iowa,19157
"Calhoun County, Iowa",9668,19,025,Calhoun County, Iowa,19025
"Cerro Gordo County, Iowa",42450,19,033,Cerro Gordo County, Iowa,19033
"Monroe County, Iowa",7707,19,135,Monroe County, Iowa,19135
"Lucas County, Iowa",8600,19,117,Lucas County, Iowa,19117
"Lee County, Iowa",33657,19,111,Lee County, Iowa,19111
"Jasper County, Iowa",37185,19,099,Jasper County, Iowa,19099
"Jackson County, Iowa",19439,19,097,Jackson County, Iowa,19097
"Clayton County, Iowa",17549,19,043,Clayton County, Iowa,19043
"Clay County, Iowa",16016,19,041,Clay County, Iowa,19041
"Delaware County, Iowa",17011,19,055,Delaware County, Iowa,19055
"Scott County, Iowa",172943,19,163,Scott County, Iowa,19163
"Bacon County, Georgia",11164,13,005,Bacon County, Georgia,13005
"Brantley County, Georgia",19109,13,025,Brantley County, Georgia,13025
"Burke County, Georgia",22383,13,033,Burke County, Georgia,13033
"Ben Hill County, Georgia",16700,13,017,Ben Hill County, Georgia,13017
"Catoosa County, Georgia",67580,13,047,Catoosa County, Georgia,13047
"Chattahoochee County, Georgia",10907,13,053,Chattahoochee County, Georgia,13053
"Chattooga County, Georgia",24789,13,055,Chattooga County, Georgia,13055
"Columbia County, Georgia",156714,13,073,Columbia County, Georgia,13073
"Decatur County, Georgia",26404,13,087,Decatur County, Georgia,13087
"Floyd County, Georgia",98498,13,115,Floyd County, Georgia,13115
"Forsyth County, Georgia",244252,13,117,Forsyth County, Georgia,13117
"Habersham County, Georgia",45328,13,137,Habersham County, Georgia,13137
"Hart County, Georgia",26205,13,147,Hart County, Georgia,13147
"Lowndes County, Georgia",117406,13,185,Lowndes County, Georgia,13185
"McIntosh County, Georgia",14378,13,191,McIntosh County, Georgia,13191
"Meriwether County, Georgia",21167,13,199,Meriwether County, Georgia,13199
"Monroe County, Georgia",27578,13,207,Monroe County, Georgia,13207
"Putnam County, Georgia",22119,13,237,Putnam County, Georgia,13237
"Sumter County, Georgia",29524,13,261,Sumter County, Georgia,13261
"Taliaferro County, Georgia",1537,13,265,Taliaferro County, Georgia,13265
"Warren County, Georgia",5254,13,301,Warren County, Georgia,13301
"Pulaski County, Arkansas",391911,05,119,Pulaski County, Arkansas,05119
"Stone County, Arkansas",12506,05,137,Stone County, Arkansas,05137
"Union County, Arkansas",38682,05,139,Union County, Arkansas,05139
"Woodruff County, Arkansas",6320,05,147,Woodruff County, Arkansas,05147
