NAME,state,county,stateName,countyName,FIPS
"Fayette County, Illinois",17,051,Fayette County, Illinois,17051
"Logan County, Illinois",17,107,Logan County, Illinois,17107
"Saline County, Illinois",17,165,Saline County, Illinois,17165
"Lake County, Illinois",17,097,Lake County, Illinois,17097
"Massac County, Illinois",17,127,Massac County, Illinois,17127
"Cass County, Illinois",17,017,Cass County, Illinois,17017
"Huntington County, Indiana",18,069,Huntington County, Indiana,18069
"White County, Indiana",18,181,White County, Indiana,18181
"Jay County, Indiana",18,075,Jay County, Indiana,18075
"Shelby County, Indiana",18,145,Shelby County, Indiana,18145
"Sullivan County, Indiana",18,153,Sullivan County, Indiana,18153
"Tippecanoe County, Indiana",18,157,Tippecanoe County, Indiana,18157
"Hamilton County, Indiana",18,057,Hamilton County, Indiana,18057
"Bartholomew County, Indiana",18,005,Bartholomew County, Indiana,18005
"Fulton County, Indiana",18,049,Fulton County, Indiana,18049
"Noble County, Indiana",18,113,Noble County, Indiana,18113
"Clark County, Indiana",18,019,Clark County, Indiana,18019
"Hendricks County, Indiana",18,063,Hendricks County, Indiana,18063
"Grant County, Indiana",18,053,Grant County, Indiana,18053
"Jackson County, Indiana",18,071,Jackson County, Indiana,18071
"Owen County, Indiana",18,119,Owen County, Indiana,18119
"Whitley County, Indiana",18,183,Whitley County, Indiana,18183
"Clinton County, Indiana",18,023,Clinton County, Indiana,18023
"Union County, Indiana",18,161,Union County, Indiana,18161
"Dearborn County, Indiana",18,029,Dearborn County, Indiana,18029
"Lawrence County, Indiana",18,093,Lawrence County, Indiana,18093
"Perry County, Indiana",18,123,Perry County, Indiana,18123
"Posey County, Indiana",18,129,Posey County, Indiana,18129
"Carroll County, Indiana",18,015,Carroll County, Indiana,18015
"Fountain County, Indiana",18,045,Fountain County, Indiana,18045
"Starke County, Indiana",18,149,Starke County, Indiana,18149
"Greene County, Indiana",18,055,Greene County, Indiana,18055
"Benton County, Iowa",19,011,Benton County, Iowa,19011
"Dubuque County, Iowa",19,061,Dubuque County, Iowa,19061
"Pocahontas County, Iowa",19,151,Pocahontas County, Iowa,19151
"Van Buren County, Iowa",19,177,Van Buren County, Iowa,19177
"Adams County, Iowa",19,003,Adams County, Iowa,19003
"Audubon County, Iowa",19,009,Audubon County, Iowa,19009
"Davis County, Iowa",19,051,Davis County, Iowa,19051
"Ida County, Iowa",19,093,Ida County, Iowa,19093
"Monroe County, Iowa",19,135,Monroe County, Iowa,19135
"Sioux County, Iowa",19,167,Sioux County, Iowa,19167
"Calhoun County, Iowa",19,025,Calhoun County, Iowa,19025
"Cerro Gordo County, Iowa",19,033,Cerro Gordo County, Iowa,19033
"Hardin County, Iowa",19,083,Hardin County, Iowa,19083
"Lucas County, Iowa",19,117,Lucas County, Iowa,19117
"Palo Alto County, Iowa",19,147,Palo Alto County, Iowa,19147
"Henry County, Iowa",19,087,Henry County, Iowa,19087
"Jasper County, Iowa",19,099,Jasper County, Iowa,19099
"Poweshiek County, Iowa",19,157,Poweshiek County, Iowa,19157
"Clayton County, Iowa",19,043,Clayton County, Iowa,19043
"Bremer County, Iowa",19,017,Bremer County, Iowa,19017
"Emmet County, Iowa",19,063,Emmet County, Iowa,19063
"Hancock County, Iowa",19,081,Hancock County, Iowa,19081
"Jackson County, Iowa",19,097,Jackson County, Iowa,19097
"Lee County, Iowa",19,111,Lee County, Iowa,19111
"Warren County, Iowa",19,181,Warren County, Iowa,19181
"Mahaska County, Iowa",19,123,Mahaska County, Iowa,19123
"Clay County, Iowa",19,041,Clay County, Iowa,19041
"Delaware County, Iowa",19,055,Delaware County, Iowa,19055
"Bacon County, Georgia",13,005,Bacon County, Georgia,13005
"Brantley County, Georgia",13,025,Brantley County, Georgia,13025
"Ben Hill County, Georgia",13,017,Ben Hill County, Georgia,13017
"Burke County, Georgia",13,033,Burke County, Georgia,13033
"Catoosa County, Georgia",13,047,Catoosa County, Georgia,13047
"Chattahoochee County, Georgia",13,053,Chattahoochee County, Georgia,13053
"Chattooga County, Georgia",13,055,Chattooga County, Georgia,13055
"Columbia County, Georgia",13,073,Columbia County, Georgia,13073
"Decatur County, Georgia",13,087,Decatur County, Georgia,13087
"Floyd County, Georgia",13,115,Floyd County, Georgia,13115
"Forsyth County, Georgia",13,117,Forsyth County, Georgia,13117
"Habersham County, Georgia",13,137,Habersham County, Georgia,13137
"Hart County, Georgia",13,147,Hart County, Georgia,13147
"Lowndes County, Georgia",13,185,Lowndes County, Georgia,13185
"McIntosh County, Georgia",13,191,McIntosh County, Georgia,13191
"Meriwether County, Georgia",13,199,Meriwether County, Georgia,13199
"Monroe County, Georgia",13,207,Monroe County, Georgia,13207
"Putnam County, Georgia",13,237,Putnam County, Georgia,13237
"Sumter County, Georgia",13,261,Sumter County, Georgia,13261
"Taliaferro County, Georgia",13,265,Taliaferro County, Georgia,13265
"Warren County, Georgia",13,301,Warren County, Georgia,13301
"Wayne County, Iowa",19,185,Wayne County, Iowa,19185
"Scott County, Iowa",19,163,Scott County, Iowa,19163
"Sherman County, Kansas",20,181,Sherman County, Kansas,20181
"Thomas County, Kansas",20,193,Thomas County, Kansas,20193
"Morris County, Kansas",20,127,Morris County, Kansas,20127
"Rooks County, Kansas",20,163,Rooks County, Kansas,20163
"Clark County, Kansas",20,025,Clark County, Kansas,20025
"Harper County, Kansas",20,077,Harper County, Kansas,20077
"Lyon County, Kansas",20,111,Lyon County, Kansas,20111
"Pawnee County, Kansas",20,145,Pawnee County, Kansas,20145
"Comanche County, Kansas",20,033,Comanche County, Kansas,20033
"Gove County, Kansas",20,063,Gove County, Kansas,20063
"Harvey County, Kansas",20,079,Harvey County, Kansas,20079
"Kearny County, Kansas",20,093,Kearny County, Kansas,20093
"McPherson County, Kansas",20,113,McPherson County, Kansas,20113
"Desha County, Arkansas",05,041,Desha County, Arkansas,05041
"Fulton County, Arkansas",05,049,Fulton County, Arkansas,05049
"Howard County, Arkansas",05,061,Howard County, Arkansas,05061
"Garland County, Arkansas",05,051,Garland County, Arkansas,05051
"Mississippi County, Arkansas",05,093,Mississippi County, Arkansas,05093
"Pope County, Arkansas",05,115,Pope County, Arkansas,05115
"Prairie County, Arkansas",05,117,Prairie County, Arkansas,05117
"Union County, Arkansas",05,139,Union County, Arkansas,05139
"Woodruff County, Arkansas",05,147,Woodruff County, Arkansas,05147
"Cleburne County, Arkansas",05,023,Cleburne County, Arkansas,05023
"Cleveland County, Arkansas",05,025,Cleveland County, Arkansas,05025
"Jackson County, Arkansas",05,067,Jackson County, Arkansas,05067
"Hempstead County, Arkansas",05,057,Hempstead County, Arkansas,05057
"Sharp County, Arkansas",05,135,Sharp County, Arkansas,05135
"Stone County, Arkansas",05,137,Stone County, Arkansas,05137
"Washington County, Arkansas",05,143,Washington County, Arkansas,05143
"Baxter County, Arkansas",05,005,Baxter County, Arkansas,05005
"Ashley County, Arkansas",05,003,Ashley County, Arkansas,05003
"Craighead County, Arkansas",05,031,Craighead County, Arkansas,05031
"Greene County, Arkansas",05,055,Greene County, Arkansas,05055
"Perry County, Arkansas",05,105,Perry County, Arkansas,05105
"Poinsett County, Arkansas",05,111,Poinsett County, Arkansas,05111
"Sevier County, Arkansas",05,133,Sevier County, Arkansas,05133
"Calhoun County, Arkansas",05,013,Calhoun County, Arkansas,05013
"Clark County, Arkansas",05,019,Clark County, Arkansas,05019
"Lawrence County, Arkansas",05,075,Lawrence County, Arkansas,05075
"Monroe County, Arkansas",05,095,Monroe County, Arkansas,05095
"Conway County, Arkansas",05,029,Conway County, Arkansas,05029
"Newton County, Arkansas",05,101,Newton County, Arkansas,05101
"Arkansas County, Arkansas",05,001,Arkansas County, Arkansas,05001
"Lonoke County, Arkansas",05,085,Lonoke County, Arkansas,05085
"Carroll County, Arkansas",05,015,Carroll County, Arkansas,05015
"St. Francis County, Arkansas",05,123,St. Francis County, Arkansas,05123
"Pulaski County, Arkansas",05,119,Pulaski County, Arkansas,05119
"Merced County, California",06,047,Merced County, California,06047
"Mariposa County, California",06,043,Mariposa County, California,06043
"Modoc County, California",06,049,Modoc County, California,06049
"Contra Costa County, California",06,013,Contra Costa County, California,06013
"Inyo County, California",06,027,Inyo County, California,06027
"Stanislaus County, California",06,099,Stanislaus County, California,06099
"Santa Barbara County, California",06,083,Santa Barbara County, California,06083
"Tehama County, California",06,103,Tehama County, California,06103
"Mono County, California",06,051,Mono County, California,06051
"San Benito County, California",06,069,San Benito County, California,06069
"Bryan County, Georgia",13,029,Bryan County, Georgia,13029
"Butts County, Georgia",13,035,Butts County, Georgia,13035
"Camden County, Georgia",13,039,Camden County, Georgia,13039
"Crawford County, Georgia",13,079,Crawford County, Georgia,13079
"Early County, Georgia",13,099,Early County, Georgia,13099
"Coffee County, Georgia",13,069,Coffee County, Georgia,13069
"Coweta County, Georgia",13,077,Coweta County, Georgia,13077
"Gilmer County, Georgia",13,123,Gilmer County, Georgia,13123
"Walton County, Georgia",13,297,Walton County, Georgia,13297
"Wilkes County, Georgia",13,317,Wilkes County, Georgia,13317
"Dodge County, Georgia",13,091,Dodge County, Georgia,13091
"Gordon County, Georgia",13,129,Gordon County, Georgia,13129
"Cherokee County, Georgia",13,057,Cherokee County, Georgia,13057
"Fayette County, Georgia",13,113,Fayette County, Georgia,13113
"Lee County, Georgia",13,177,Lee County, Georgia,13177
"Pickens County, Georgia",13,227,Pickens County, Georgia,13227
"Greene County, Georgia",13,133,Greene County, Georgia,13133
"Cook County, Georgia",13,075,Cook County, Georgia,13075
"Dawson County, Georgia",13,085,Dawson County, Georgia,13085
"Fulton County, Georgia",13,121,Fulton County, Georgia,13121
"Hawaii County, Hawaii",15,001,Hawaii County, Hawaii,15001
"Honolulu County, Hawaii",15,003,Honolulu County, Hawaii,15003
"Kauai County, Hawaii",15,007,Kauai County, Hawaii,15007
"Kalawao County, Hawaii",15,005,Kalawao County, Hawaii,15005
"Cassia County, Idaho",16,031,Cassia County, Idaho,16031
"Lincoln County, Idaho",16,063,Lincoln County, Idaho,16063
"Valley County, Idaho",16,085,Valley County, Idaho,16085
"Franklin County, Idaho",16,041,Franklin County, Idaho,16041
"Nez Perce County, Idaho",16,069,Nez Perce County, Idaho,16069
"Kootenai County, Idaho",16,055,Kootenai County, Idaho,16055
"Minidoka County, Idaho",16,067,Minidoka County, Idaho,16067
"Twin Falls County, Idaho",16,083,Twin Falls County, Idaho,16083
"Blaine County, Idaho",16,013,Blaine County, Idaho,16013
"Boise County, Idaho",16,015,Boise County, Idaho,16015
"Butte County, Idaho",16,023,Butte County, Idaho,16023
"Gooding County, Idaho",16,047,Gooding County, Idaho,16047
"Ada County, Idaho",16,001,Ada County, Idaho,16001
"Bear Lake County, Idaho",16,007,Bear Lake County, Idaho,16007
"Bingham County, Idaho",16,011,Bingham County, Idaho,16011
"Camas County, Idaho",16,025,Camas County, Idaho,16025
"Clearwater County, Idaho",16,035,Clearwater County, Idaho,16035
"Jefferson County, Idaho",16,051,Jefferson County, Idaho,16051
"Lane County, Oregon",41,039,Lane County, Oregon,41039
"Surry County, Virginia",51,181,Surry County, Virginia,51181
"Clarke County, Virginia",51,043,Clarke County, Virginia,51043
"Mecklenburg County, Virginia",51,117,Mecklenburg County, Virginia,51117
"Augusta County, Virginia",51,015,Augusta County, Virginia,51015
"Goochland County, Virginia",51,075,Goochland County, Virginia,51075
"Madison County, Virginia",51,113,Madison County, Virginia,51113
"Roanoke County, Virginia",51,161,Roanoke County, Virginia,51161
"Brunswick County, Virginia",51,025,Brunswick County, Virginia,51025
"Northampton County, Virginia",51,131,Northampton County, Virginia,51131
"Rockbridge County, Virginia",51,163,Rockbridge County, Virginia,51163
"Norton city, Virginia",51,720,Norton city, Virginia,51720
"Colonial Heights city, Virginia",51,570,Colonial Heights city, Virginia,51570
"Bland County, Virginia",51,021,Bland County, Virginia,51021
"Botetourt County, Virginia",51,023,Botetourt County, Virginia,51023
"Bristol city, Virginia",51,520,Bristol city, Virginia,51520
"Williamsburg city, Virginia",51,830,Williamsburg city, Virginia,51830
"Carroll County, Virginia",51,035,Carroll County, Virginia,51035
"Sacramento County, California",06,067,Sacramento County, California,06067
"El Dorado County, California",06,017,El Dorado County, California,06017
"Monterey County, California",06,053,Monterey County, California,06053
"San Francisco County, California",06,075,San Francisco County, California,06075
"San Diego County, California",06,073,San Diego County, California,06073
"Tulare County, California",06,107,Tulare County, California,06107
"Humboldt County, California",06,023,Humboldt County, California,06023
"Alpine County, California",06,003,Alpine County, California,06003
"Madera County, California",06,039,Madera County, California,06039
"Santa Cruz County, California",06,087,Santa Cruz County, California,06087
"Trinity County, California",06,105,Trinity County, California,06105
"Riverside County, California",06,065,Riverside County, California,06065
"San Bernardino County, California",06,071,San Bernardino County, California,06071
"Marin County, California",06,041,Marin County, California,06041
"Placer County, California",06,061,Placer County, California,06061
"Shasta County, California",06,089,Shasta County, California,06089
"Solano County, California",06,095,Solano County, California,06095
"Colusa County, California",06,011,Colusa County, California,06011
"Copiah County, Mississippi",28,029,Copiah County, Mississippi,28029
"Hinds County, Mississippi",28,049,Hinds County, Mississippi,28049
"Union County, Mississippi",28,145,Union County, Mississippi,28145
"Tippah County, Mississippi",28,139,Tippah County, Mississippi,28139
"Forrest County, Mississippi",28,035,Forrest County, Mississippi,28035
"Lafayette County, Mississippi",28,071,Lafayette County, Mississippi,28071
"Lowndes County, Mississippi",28,087,Lowndes County, Mississippi,28087
"Wilkinson County, Mississippi",28,157,Wilkinson County, Mississippi,28157
"Jefferson Davis County, Mississippi",28,065,Jefferson Davis County, Mississippi,28065
"Scott County, Mississippi",28,123,Scott County, Mississippi,28123
"Yazoo County, Mississippi",28,163,Yazoo County, Mississippi,28163
"Bolivar County, Mississippi",28,011,Bolivar County, Mississippi,28011
"Pike County, Mississippi",28,113,Pike County, Mississippi,28113
"Stone County, Mississippi",28,131,Stone County, Mississippi,28131
"Kemper County, Mississippi",28,069,Kemper County, Mississippi,28069
"Sunflower County, Mississippi",28,133,Sunflower County, Mississippi,28133
"Adams County, Mississippi",28,001,Adams County, Mississippi,28001
"DeSoto County, Mississippi",28,033,DeSoto County, Mississippi,28033
"Delaware County, Pennsylvania",42,045,Delaware County, Pennsylvania,42045
"Somerset County, Pennsylvania",42,111,Somerset County, Pennsylvania,42111
"Madison County, Missouri",29,123,Madison County, Missouri,29123
"Vernon County, Missouri",29,217,Vernon County, Missouri,29217
"Nodaway County, Missouri",29,147,Nodaway County, Missouri,29147
"Chariton County, Missouri",29,041,Chariton County, Missouri,29041
"Wayne County, Missouri",29,223,Wayne County, Missouri,29223
"Scott County, Missouri",29,201,Scott County, Missouri,29201
"Barton County, Missouri",29,011,Barton County, Missouri,29011
"Cedar County, Missouri",29,039,Cedar County, Missouri,29039
"Gasconade County, Missouri",29,073,Gasconade County, Missouri,29073
"Macon County, Missouri",29,121,Macon County, Missouri,29121
"Oregon County, Missouri",29,149,Oregon County, Missouri,29149
"Ste. Genevieve County, Missouri",29,186,Ste. Genevieve County, Missouri,29186
"Douglas County, Missouri",29,067,Douglas County, Missouri,29067
"Henry County, Missouri",29,083,Henry County, Missouri,29083
"Lawrence County, Missouri",29,109,Lawrence County, Missouri,29109
"Pulaski County, Missouri",29,169,Pulaski County, Missouri,29169
"Texas County, Missouri",29,215,Texas County, Missouri,29215
"Callaway County, Missouri",29,027,Callaway County, Missouri,29027
"Cooper County, Missouri",29,053,Cooper County, Missouri,29053
"Gentry County, Missouri",29,075,Gentry County, Missouri,29075
"Washington County, Virginia",51,191,Washington County, Virginia,51191
"Page County, Virginia",51,139,Page County, Virginia,51139
"Alexandria city, Virginia",51,510,Alexandria city, Virginia,51510
"Hampton city, Virginia",51,650,Hampton city, Virginia,51650
"Arlington County, Virginia",51,013,Arlington County, Virginia,51013
"Buchanan County, Virginia",51,027,Buchanan County, Virginia,51027
"Stafford County, Virginia",51,179,Stafford County, Virginia,51179
"Richmond city, Virginia",51,760,Richmond city, Virginia,51760
"Essex County, Virginia",51,057,Essex County, Virginia,51057
"Tazewell County, Virginia",51,185,Tazewell County, Virginia,51185
"Manassas Park city, Virginia",51,685,Manassas Park city, Virginia,51685
"Sussex County, Virginia",51,183,Sussex County, Virginia,51183
"Manassas city, Virginia",51,683,Manassas city, Virginia,51683
"Salem city, Virginia",51,775,Salem city, Virginia,51775
"Charlotte County, Virginia",51,037,Charlotte County, Virginia,51037
"Greensville County, Virginia",51,081,Greensville County, Virginia,51081
"Thurston County, Washington",53,067,Thurston County, Washington,53067
"Columbia County, Washington",53,013,Columbia County, Washington,53013
"Guayanilla Municipio, Puerto Rico",72,059,Guayanilla Municipio, Puerto Rico,72059
"Sabana Grande Municipio, Puerto Rico",72,121,Sabana Grande Municipio, Puerto Rico,72121
"Hormigueros Municipio, Puerto Rico",72,067,Hormigueros Municipio, Puerto Rico,72067
"Utuado Municipio, Puerto Rico",72,141,Utuado Municipio, Puerto Rico,72141
"Florida Municipio, Puerto Rico",72,054,Florida Municipio, Puerto Rico,72054
"Moca Municipio, Puerto Rico",72,099,Moca Municipio, Puerto Rico,72099
"Salinas Municipio, Puerto Rico",72,123,Salinas Municipio, Puerto Rico,72123
"Mississippi County, Missouri",29,133,Mississippi County, Missouri,29133
"Ozark County, Missouri",29,153,Ozark County, Missouri,29153
"Bollinger County, Missouri",29,017,Bollinger County, Missouri,29017
"Sumner County, Tennessee",47,165,Sumner County, Tennessee,47165
"Trousdale County, Tennessee",47,169,Trousdale County, Tennessee,47169
"Clay County, Tennessee",47,027,Clay County, Tennessee,47027
"Moultrie County, Illinois",17,139,Moultrie County, Illinois,17139
"Pike County, Illinois",17,149,Pike County, Illinois,17149
"Pope County, Illinois",17,151,Pope County, Illinois,17151
